"Company","Exchange","Ticker","Industry","Year Founded","Locations","Nb of Employees","Credit Rating FCLT","Credit Rating LCLT","Type","NOSH","Price (USD)","TEV (USDmm)","Total Revenue (USDmm)","Gross Profit (USDmm)","EBITDA (USDmm)","EBIT (USDmm)","Net Income (USDmm)","Cash And Equivalents (USDmm)","Net PP&E (USDmm)","Total Assets (USDmm)","Total Debt (USDmm)","Total Equity (USDmm)","Basic EPS (USD)","EPS Est (USD)","Nb EPS Est","EBITDA Est (USDmm)","Nb EBITDA Est","EBIT Est (USDmm)","Nb EBIT Est"
"Finning International Inc. ","TSX","FTT","Industrials",1933,"US/CA",13188,"BBB+","BBB+","Public Company",153.7,22.11,4992.9,5763.8,1524,649,494.5,326.9,396.7,1065.2,4718.3,1432.6,1851.5,2.07,2.17,8,783.3,7,514.67,6
"Casella Waste Systems, Inc. ","NasdaqGS","CWST","Industrials",1975,"US/CA",2900,"BB-","BB-","Public Company",51.7,84.44,4971.6,889.2,336.3,210.4,93.3,47,33.8,738.4,1283.6,621.3,422.5,0.913,1.14,6,254.4,6,115.64,5
"ManpowerGroup Inc. ","NYSE","MAN","Industrials",1948,"US/CA",30000,"BBB","BBB","Public Company",51.7,78.16,4914.8,20724.4,3597.6,753.2,677.2,422.6,847.8,490.2,9828.9,1504.1,2531.7,7.87,8.09,11,744.9,8,649.09,10
"Ricoh Company, Ltd. ","TSE","7752","Information Technology",1936,"APAC",78360,"BBB+","BBB+","Public Company",617.1,8.05,4872.3,14481.8,4697.2,874.3,214.7,244.1,1979.6,2027.2,15261.4,2491.4,7459.4,0.375,0.713,12,1333.7,8,676.38,12
"The E.W. Scripps Company ","NasdaqGS","SSP","Communication Services",1878,"US/CA",5600,"B+","B+","Public Company",83.4,15.51,4852.8,2283.5,1158.2,545.1,382.7,175.6,66.2,581.8,6658.3,3282,1970.4,1.48,2.59,4,637.7,5,472.8,5
"SYNLAB AG ","DB","SYAB","Health Care",1998,"EU",30000,"BB-","BB-","Public Company",221.6,14.9,4831.6,4281.7,2913,882.7,814.2,421.6,504.7,970.7,6170.8,2326.7,2565.3,1.9,1.5,3,716.3,6,486.57,3
"Eutelsat Communications S.A. ","ENXTPA","ETL","Communication Services",1977,"EU",1093,"BBB-","BBB-","Public Company",230.3,8.74,4823.6,1203.8,1106.4,836,397.1,241.3,711.4,4317.8,7917.2,3640.3,2990.5,1.05,1.35,7,856,9,484.57,4
"Wan Hai Lines Ltd. ","TWSE","2615","Industrials",1965,"APAC",4333,"BB+","BB+","Public Company",2806.1,3.08,4791.4,8227.4,6190.9,6137.9,5894.8,4718.7,3716.7,3640.2,9298.2,2223.4,5216.8,1.68,0.903,4,3754.4,2,3185.31,2
"Ultrapar Participações S.A. ","BOVESPA","UGPA3","Energy",1937,"LATAM",9350,"BB+","BB+","Public Company",1091,2.75,4734.7,19694.7,1153.5,525.7,378.4,316.3,409.2,1287.1,7001.5,3182.1,1879,0.29,0.175,7,746.2,13,447.85,11
"CVR Energy, Inc. ","NYSE","CVI","Energy",1906,"US/CA",1429,"B+","B+","Public Company",100.5,36.74,4722.5,7242,1268,8417.83980582524,6169.76116504854,328,510,2310,3906,1697,770,3.26,3.72,6,10294.3339805825,4,7659.06446601942,3
"Hikma Pharmaceuticals PLC ","LSE","HIK","Health Care",1978,"EU",8700,"BBB-","BBB-","Public Company",220.1,16,4662.8,2553,1308,762,550,346,426,1146,4372,846,2467,1.51,1.97,8,736.9,7,629.96,4
"Resideo Technologies, Inc. ","NYSE","REZI","Industrials",2018,"US/CA",13300,"BB+","BB+","Public Company",145.7,22.61,4647,5846,1705,764,676,316,779,428,5853,1382,2252,2.18,2.33,5,877.5,4,751.45,5
"Allegro MicroSystems, Inc. ","NasdaqGS","ALGM","Information Technology",1990,"US/CA",4036,"B+","B+","Public Company",191.3,25.58,4639.3,768.7,433,175.7,127.6,102,282.4,226.1,892.6,41.5,735.4,0.537,1.11,8,293.3,2,247.42,7
"HOCHTIEF Aktiengesellschaft ","XTRA","HOT","Industrials",1873,"EU",35687,"BBB-","BBB-","Public Company",75.2,51.17,4616.3,24312.4,5711.7,265.8,87.6,265.3,4869.4,860.5,18463.6,5519.8,1234.8,3.87,7.26,3,1206.2,5,876.75,5
"PT Medco Energi Internasional Tbk ","IDX","MEDC","Energy",1980,"APAC",3389,"B+","B+","Public Company",24995.1,0.053,4614.2,1283.3,1339.2,718.2,657,270.6,481,2206,5683.9,3211.5,1229.3,0.011,0.017,3,1512.7,3,1166.67,3
"Vipshop Holdings Limited ","NYSE","VIPS","Consumer Discretionary",2008,"APAC",8013,"BBB","BBB","Public Company",635.6,11.09,4582.7,18427.1,3222.4,926,752.8,660,2565.5,2443.9,9805,517,5325.1,0.986,1.39,15,1074.7,13,858.37,17
"Hugo Boss AG ","XTRA","BOSS","Consumer Discretionary",1924,"EU",15411,"BBB","BBB","Public Company",69,55.85,4578.1,3168.6,2161.6,533.7,354,214.7,323.8,1265.9,3111,1129.2,1068.7,3.11,3.09,13,727.1,13,336.81,18
"KB Home ","NYSE","KBH","Consumer Discretionary",1957,"US/CA",2244,"BB","BB","Public Company",87.2,31.05,4574.6,5724.9,1491.5,902.8,873.1,669.3,290.8,103.8,5835.9,1714.5,3019.5,7.53,10.6,16,1401.2,6,1205.68,9
"Nuvei Corporation ","TSX","NVEI","Information Technology",2003,"US/CA",1368,"BB-","BB-","Public Company",141.3,33.41,4520.2,724.5,651.3,222.2,134,74.6,748.6,18.9,3455.5,508.6,2021.8,0.527,1.92,14,391,14,116.91,10
"Nexans S.A. ","ENXTPA","NEX","Industrials",1994,"EU",21108,"BB+","BB+","Public Company",43.2,94.98,4464,8386.2,949.2,593.8,448.5,292.7,1105.4,1639.9,6353.9,1190.7,1665,6.72,5.74,4,573,9,396.92,6
"SSAB AB (publ) ","OM","SSAB A","Materials",1878,"EU",14472,"BBB-","BBB-","Public Company",1029.8,4.92,4447.1,10604.9,3615.7,3298.2,3001,2339.3,1525.7,2820.2,12388.6,1383.7,8129.5,2.27,1.09,11,1774.7,13,1357.71,13
"Minsur S.A. ","BVL","MINSURI1","Materials",1977,"LATAM",368,"BB+","BB+","Public Company",2883,1.01,4429.9,2005.1,1873.1,1870,1691.3,723.3,469.4,2095.8,4427.9,1591.1,1861.7,0.251,0.07,1,1818.6,1,1626.8,1
"KAR Auction Services, Inc. ","NYSE","KAR","Industrials",2006,"US/CA",8928,"B","B","Public Company",115.8,15.48,4418.6,2251.6,945.7,358.3,177.7,214,190,904.9,7417.2,3933.2,2103.9,1.43,0.684,8,282.4,9,151.66,7
"Fluidra, S.A. ","BME","FDR","Industrials",1969,"EU",7480,"BB+","BB+","Public Company",189.8,16.43,4404.1,2540.3,1342.9,515,430.6,255.7,99.9,355.1,3986.5,1333.9,1845.1,1.35,1.76,9,640.9,14,468.13,14
"Contact Energy Limited ","NZSE","CEN","Utilities",1995,"APAC",1010,"BBB","BBB","Public Company",780.6,4.9,4401.2,1485.6,330,303.2,166.9,113.3,104.6,2548.5,3215.1,684,1767.5,0.146,0.166,5,340,5,188.97,5
"Ziff Davis, Inc. ","NasdaqGS","ZD","Communication Services",2014,"US/CA",4900,"BB","BB","Public Company",47.2,83.53,4391.8,1416.7,1228.7,447.4,209.4,381.2,694.8,216.8,3770.3,1171.5,1967.7,8.08,6.87,8,532.1,8,456.16,5
"Arçelik Anonim Sirketi ","IBSE","ARCLK","Consumer Discretionary",1955,"AFME",41969,"BB+","BB+","Public Company",675.7,3.93,4377.5,5164.3,1788.1,472.1,364.1,171.6,1213,994.1,6443.9,2467.6,1594.7,0.269,0.37,10,862.5,11,674.83,8
"Atkore Inc. ","NYSE","ATKR","Industrials",1959,"US/CA",3400,"BB","BB","Public Company",41.3,91,4376.6,2928,1582.8,1285.4,1204.9,895.2,576.3,316.7,2210.1,800.4,864.7,19.6,15.7,4,1033.7,4,967.34,4
"Maxar Technologies Inc. ","NYSE","MAXR","Industrials",1957,"US/CA",4400,"B","B","Public Company",74.2,26.02,4340.8,1770,821,423,145,48,47,1085,4498,2314,1463,0.656,1.36,4,522.9,1,247.79,10
"Arconic Corporation ","NYSE","ARNC","Materials",1888,"US/CA",13900,"BB","BB","Public Company",102.7,27.4,4340,7504,978,610,360,134,335,2773,6580,1719,1559,1.26,3.29,3,885.6,5,630.21,4
"Tate & Lyle plc ","LSE","TATE","Consumer Staples",1903,"EU",4591,"BBB","BBB","Public Company",398.2,9.21,4338.7,1807.5,892.6,328.6,214.3,310.2,144.6,653.3,4273.5,892.6,2129.5,0.778,0.561,11,345.2,10,243.29,10
"MACOM Technology Solutions Holdings, Inc. ","NasdaqGS","MTSI","Information Technology",1950,"US/CA",1100,"B+","B+","Public Company",70,61.02,4338.2,606.9,387.9,182.1,121.9,217.7,156.5,150.5,1134.1,565.9,471.7,3.13,3.04,13,254.3,3,228.13,11
"Under Armour, Inc. ","NYSE","UAA","Consumer Discretionary",1996,"US/CA",12300,"BB","BB","Public Company",455.2,9.18,4331.8,5683.5,2862,666,524.8,360.1,1669.5,1055.6,4991.4,1504.3,2089,0.773,0.556,24,490.2,18,333.4,21
"DIC Asset AG ","XTRA","DIC","Real Estate",2002,"EU",355,"BB+","BB+","Public Investment Firm",81.9,10.5,4330.3,272.2,236.7,168,115.7,46.2,622,14.2,3973.2,2474.3,1289.6,0.563,1.16,4,257.4,3,188.87,4
"ManTech International Corporation ","NasdaqGS","MANT","Industrials",1968,"US/CA",9800,"BB+","BB+","Public Company",41,95.94,4278.2,2554,388.7,256.2,176,122.3,53.4,208.6,2639.6,396.5,1675.4,3,3.89,7,263.2,6,181.51,4
"Delek US Holdings, Inc. ","NYSE","DK","Energy",2001,"US/CA",3312,"BB-","BB-","Public Company",71,30.13,4277.6,10648.2,1104.2,757.8,492.7,291.6,856.5,2515.8,6728,2673.5,947.5,3.99,3.9,10,855.4,12,534.1,6
"Hillenbrand, Inc. ","NYSE","HI","Industrials",1906,"US/CA",10500,"BB+","BB+","Public Company",69.5,45.55,4243.9,2864.8,959.4,528,417.7,207.1,446.1,433.2,4014.9,1349.2,1232.2,2.85,4.17,4,555.2,4,463.45,4
"Louisiana-Pacific Corporation ","NYSE","LPX","Materials",1972,"US/CA",4800,"BB+","BB+","Public Company",73.9,58.54,4214.5,4553,2058,1909,1781,1427,358,1205,2194,397,1239,16.4,6.06,7,663.2,7,616.95,8
"Dycom Industries, Inc. ","NYSE","DY","Industrials",1969,"US/CA",14674,"BB","BB","Public Company",29.6,116.21,4211.4,3130.5,557.8,285.7,137.3,92.9,310.8,355.9,2118.2,901.9,758.5,3.11,4.7,5,421,7,233.3,6
"Constellium SE ","NYSE","CSTM","Materials",2010,"EU",12500,"B+","B+","Public Company",144.3,14.5,4208.2,6996.5,789.3,716.1,491.3,258.2,167.2,2215.4,5258.7,2421.2,330.9,1.81,1.8,5,684.8,8,415.99,5
"Gibson Energy Inc. ","TSX","GEI","Energy",1950,"US/CA",460,"BBB-","BBB-","Public Company",146.5,19.98,4171.2,5698.3,269.2,323.1,221.7,130.3,49.5,1315.9,2711.8,1376.8,509,0.887,1.14,11,400.7,12,241.95,2
"Royal Mail plc ","LSE","RMG","Industrials",1516,"EU",179049,"BBB","BBB","Public Company",946.1,3.14,4163.8,16764.7,6814.3,1397.9,1082.7,807.1,1499.5,4709.5,14083.6,2918.5,7034.5,0.814,0.262,11,1068.3,11,356.21,7
"Chorus Limited ","NZSE","CNU","Communication Services",2008,"APAC",799,"BBB","BBB","Public Company",446.5,4.94,4161.1,600.6,432.5,375.9,159.9,39.8,54.8,3276.7,3638.3,2011.5,640.4,0.089,0.079,4,414.5,6,148.2,6
"Prestige Consumer Healthcare Inc. ","NYSE","PBH","Health Care",1996,"US/CA",535,"BB-","BB-","Public Company",49.8,54.12,4157.3,1086.8,629.1,363.6,330.7,202.9,27.2,98.5,3670.7,1506.4,1577.6,4.04,4.21,6,382.2,5,346.04,6
"California Resources Corporation ","NYSE","CRC","Energy",2014,"US/CA",970,"B+","B+","Public Company",75.4,50.71,4133.3,2565,1884,492,286,832,305,2642,3846,637,1688,10.5,6.92,4,1189.3,3,764.49,4
"Imerys S.A. ","ENXTPA","NK","Materials",1880,"EU",16809,"BBB-","BBB-","Public Company",84.6,29.84,4106.6,4984.5,3111.1,750.5,496.8,303.9,656.4,2266.3,8434.1,2318,3686.9,3.59,3.49,5,778.6,5,461.17,4
"Hostess Brands, Inc. ","NasdaqCM","TWNK","Consumer Staples",1919,"US/CA",2600,"B+","B+","Public Company",136.5,23.58,4097.7,1142,437.7,258,208.5,127.8,249.2,335.3,3466.3,1115.9,1719,0.945,1.01,11,301.2,12,229.92,9
"Otter Tail Corporation ","NasdaqGS","OTTR","Utilities",1907,"US/CA",2487,"BBB","BBB","Public Company",41.6,78.91,4076.8,1196.8,546.5,458,364.8,262.3,1.54,2143.7,2754.8,874.6,990.8,6.32,5.49,4,440.8,2,351.17,3
"ams-OSRAM AG ","SWX","AMS","Information Technology",1981,"EU",24108,"BB-","BB-","Public Company",261.2,7.72,4053.2,5729.6,1424.8,754.8,236.3,203.8,1513.7,1874.2,10967.8,3862.2,3582.4,0.784,0.933,9,888.4,8,255.63,6
"Carter's, Inc. ","NYSE","CRI","Consumer Discretionary",1865,"US/CA",15900,"BB+","BB+","Public Company",39,80.41,4048,3486.4,1587.9,524.1,444.8,286.9,984.3,703.8,3201.8,1580.8,950.2,6.9,6.98,9,451,6,396.52,8
"Bloomin' Brands, Inc. ","NasdaqGS","BLMN","Consumer Discretionary",1988,"US/CA",82000,"BB-","BB-","Public Company",89.3,22,4020.4,4122.4,709.3,466.7,302.1,76,87.6,1972.9,3294.3,2152.1,222.9,0.852,2.56,12,522.9,10,340.23,10
"Weibo Corporation ","NasdaqGS","WB","Communication Services",2009,"APAC",6147,"BBB","BBB","Public Company",236.6,20.2,4016.2,2257.1,1853.9,752.4,691.7,311,2423.7,128.9,7519.5,2494.9,3688,1.35,2.34,16,570.8,9,523.62,17
"Peabody Energy Corporation ","NYSE","BTU","Energy",1883,"US/CA",4900,"B-","B-","Public Company",143.9,27.89,4009.2,3318.3,1073.2,987,680.5,758.8,954.3,2986.1,4949.8,1181.4,1820.8,5.78,7.23,2,1738.4,4,1065.47,3
"Meritage Homes Corporation ","NYSE","MTH","Consumer Discretionary",1985,"US/CA",1773,"BB+","BB+","Public Company",36.6,84.44,3998.3,5141.3,1658.1,1220.7,1196.2,905.6,618.3,58.4,4807.5,1186.2,3044.4,24.4,23.4,11,1231.2,5,1160.27,10
"B&G Foods, Inc. ","NYSE","BGS","Consumer Staples",1822,"US/CA",3096,"B-","B-","Public Company",71.7,23.22,3990.3,2056.3,398.6,260.6,178,39.8,33.7,406.6,3828.5,2335.8,920.3,0.591,1.39,8,335,7,250.11,5
"REN - Redes Energéticas Nacionais, SGPS, S.A. ","ENXTLS","RENE","Utilities",1994,"EU",697,"BBB","BBB","Public Company",663.3,2.74,3907.3,915.9,538.6,466.8,209.7,108.2,453.5,136,6355.6,3172.1,1603.4,0.163,0.158,3,470.6,3,219.53,2
"Franchise Group, Inc. ","NasdaqGM","FRG","Consumer Discretionary",2010,"US/CA",11895,"B+","B+","Public Company",40.4,37.4,3897.9,3255.2,1709.7,416.5,336.3,364.5,292.7,1164.6,3913.2,2600.1,762.8,8.84,4.07,5,387.4,5,288.01,6
"EnerSys ","NYSE","ENS","Industrials",2000,"US/CA",11400,"BB+","BB+","Public Company",40.7,68,3878.7,3357.3,745.8,317.3,222.2,131,402.5,574.3,3736.6,1371.5,1493.3,3.15,4.88,5,384.3,5,288.82,4
"ITV plc ","LSE","ITV","Communication Services",1955,"EU",5987,"BBB-","BBB-","Public Company",4006.9,0.757,3871.5,4675.6,1006.1,947.8,836,574.8,928.9,343.9,5741.2,1557.2,2055.5,0.143,0.146,14,865.1,12,779.53,10
"ACI Worldwide, Inc. ","NasdaqGS","ACIW","Information Technology",1975,"US/CA",3610,"BB","BB","Public Company",114,24.83,3869.4,1370.6,780.9,310.4,252.6,152.1,122.1,110.9,3158.7,1136,1244.8,1.31,2.17,4,423.8,6,253.42,5
"American States Water Company ","NYSE","AWR","Utilities",1929,"US/CA",808,"A+","A+","Public Company",37,86.41,3863.5,498.9,265.8,179.3,138.4,82.6,4.96,1645.2,1901,629,685.9,2.23,2.91,1,195,1,152.75,2
"Empresa Nacional de Telecomunicaciones S.A. ","SNSE","ENTEL","Communication Services",1964,"LATAM",11948,"BBB-","BBB-","Public Company",302,2.91,3823.9,2855,2460.9,688.1,281.9,400.2,127.5,2925,6359.4,3196.9,1764.1,1.33,0.626,7,948.4,5,446.8,7
"Turkcell Iletisim Hizmetleri A.S. ","IBSE","TCELL","Communication Services",1993,"AFME",16649,"B+","B+","Public Company",2183.1,1.21,3806.9,2720.6,772.5,693,547.9,327.9,1410.9,1589.5,5353.5,2785.6,1708.9,0.15,0.185,3,1271,6,727.19,2
"Anadolu Efes Biracilik ve Malt Sanayii Anonim Sirketi ","IBSE","AEFES","Consumer Staples",1966,"AFME",18457,"BBB-","BBB-","Public Company",592.1,2.31,3806.2,2976.3,1291,641,458.4,98.9,777.1,1645.7,6440.7,1609.2,2979.1,0.167,0.327,3,843.3,7,564.08,3
"ATS Automation Tooling Systems Inc. ","TSX","ATA","Industrials",1978,"US/CA",6000,"BB","BB","Public Company",91.7,32.64,3791,1748.3,499.7,229.9,169.5,103.1,108.4,243,2458.5,885.3,789.5,1.12,1.85,4,315.7,5,263.95,2
"Visteon Corporation ","NasdaqGS","VC","Consumer Discretionary",2000,"US/CA",10000,"BB-","BB-","Public Company",28.1,125.34,3775.8,2773,305,248,151,82,452,527,2234,498,616,2.92,6.39,14,382.7,14,240.66,8
"Verra Mobility Corporation ","NasdaqCM","VRRM","Information Technology",2016,"US/CA",1370,"B+","B+","Public Company",153.2,17.04,3774.7,550.6,438.7,295.5,168.2,86.1,101.3,134.9,1837.1,1284.5,260,0.55,0.616,5,349.2,7,191.73,6
"Arcosa, Inc. ","NYSE","ACA","Industrials",2018,"US/CA",6170,"BB","BB","Public Company",48.4,64.2,3773.6,2036.4,410,307.1,153.5,92.1,72.9,1222.8,3188.1,707.3,1953.3,1.89,2.37,6,338.3,6,179.33,6
"Belden Inc. ","NYSE","BDC","Information Technology",1902,"US/CA",6200,"BB","BB","Public Company",43.5,70.85,3770.5,2408.1,943.8,413.4,330.1,85.9,643.8,432.4,3417.7,1545.5,956.1,1.92,6.11,5,450,4,382.92,5
"Air Transport Services Group, Inc. ","NasdaqGS","ATSG","Industrials",1980,"US/CA",5280,"BB+","BB+","Public Company",73.9,31.8,3728.5,1734.3,807.4,625.2,294.4,214.1,63.6,2192.6,3267.3,1366.1,1322.4,2.9,2.45,5,671.7,5,322.57,3
"AMC Networks Inc. ","NasdaqGS","AMCX","Communication Services",1980,"US/CA",1883,"BB","BB","Public Company",42.9,28.45,3718.2,3077.6,1654.8,674,578.1,315.3,892.2,351.7,5748.9,3026.9,1186.5,7.38,7.45,7,657.4,5,537.75,6
"Grainger plc ","LSE","GRI","Real Estate",1912,"EU",322,"BB+","BB+","Public Company",738.4,3.24,3707.7,336.1,209,159.2,158,198.2,428.8,2944.2,4418,1827.2,2347.9,0.279,0.126,5,159,2,159.39,4
"Worthington Industries, Inc. ","NYSE","WOR","Materials",1955,"US/CA",8400,"BBB","BBB","Public Company",49.5,55.47,3693.7,5242.2,714.8,414.1,315.2,379.4,34.5,795.1,3643,847.6,1614,7.6,5.09,4,420.9,4,283.25,4
"M.D.C. Holdings, Inc. ","NYSE","MDC","Consumer Discretionary",1972,"US/CA",2080,"BBB-","BBB-","Public Company",71.2,34.39,3666.3,5254.7,1417,933.1,903.7,646.6,485.8,83.8,4963.5,1774.8,2597.1,9.12,7.98,7,916.4,2,796,2
"Türk Telekomünikasyon Anonim Sirketi ","IBSE","TTKOM","Communication Services",1840,"AFME",38798,"B+","B+","Public Company",3500,0.566,3659.5,2595.8,944.2,827.2,500.1,304.6,583,1556.7,4418.5,2359.7,1079.3,0.087,0.092,5,1142.5,7,653.45,5
"SJW Group ","NYSE","SJW","Utilities",1985,"US/CA",751,"A-","A-","Public Company",30.2,66.75,3643,573.7,322.7,202.2,100.3,52.4,10.9,2518.5,3492.4,1595,1034.5,1.74,2.72,6,251.3,3,144.75,3
"Installed Building Products, Inc. ","NYSE","IBP","Consumer Discretionary",1977,"US/CA",9500,"BB-","BB-","Public Company",28.5,100.24,3631.6,1968.7,701.3,342.7,255.7,158,333.5,175.8,1653.2,937.4,416.8,5.41,8.01,12,405.1,13,294.47,6
"Ratch Group Public Company Limited ","SET","RATCH","Utilities",2000,"APAC",459,"BBB","BBB","Public Company",2175,1.22,3631.4,1061.1,79.7,99.2,28.2,207.5,209.7,1156.5,4663.8,1840.7,2343.4,0.127,0.131,4,210.4,3,151.2,4
"Towngas Smart Energy Company Limited ","SEHK","1083","Utilities",1998,"APAC",23476,"BBB+","BBB+","Public Company",3245.3,0.427,3629.9,2196.2,631.7,359.4,257.9,193.3,522.1,3046,6955.4,2514.5,3228.2,0.062,0.056,11,441.5,7,286.81,6
"Moog Inc. ","NYSE","MOG.A","Industrials",1951,"US/CA",14000,"BB+","BB+","Public Company",32,85.94,3626,2852,815.1,337.7,248.2,160.3,99.6,706.1,3433.2,993.1,1400.1,5.01,5.76,3,396.3,2,299.04,3
"Viavi Solutions Inc. ","NasdaqGS","VIAV","Information Technology",1923,"US/CA",3600,"BB+","BB+","Public Company",226.3,15.12,3604.3,1292.4,803.5,260.6,185.2,15.5,559.9,274.1,1827.9,744.6,671.7,0.067,0.957,7,352.1,2,291.07,6
"Alliance Resource Partners, L.P. ","NasdaqGS","ARLP","Energy",1971,"US/CA",895,"B+","B+","Public Company",127.2,25.45,3585.9,1570,736.7,656.6,385.4,307.5,122.4,1712.8,2159.4,450.7,1226.1,2.34,5.65,3,1062.4,3,783.28,3
"PotlatchDeltic Corporation ","NasdaqGS","PCH","Real Estate",1903,"US/CA",1299,"BBB-","BBB-","Public Investment Firm",69.3,48.1,3582,1337.4,566.7,562.7,482.6,389,296.2,1989.9,2535.2,801.5,1526.1,5.68,1.92,3,316.5,4,222.82,4
"Altra Industrial Motion Corp. ","NasdaqGS","AIMC","Industrials",2004,"US/CA",9597,"BB","BB","Public Company",65.1,40.61,3581.3,1899.8,681.3,359.5,251,18.8,246.1,325.8,4130.6,1464,1985.1,0.29,3.64,5,387.8,4,352.96,4
"NOS, S.G.P.S., S.A. ","ENXTLS","NOS","Communication Services",1999,"EU",2348,"BBB-","BBB-","Public Company",512.1,3.74,3577.8,1626.6,819.7,503.4,215.2,162.6,12.4,1452.5,3706.8,1793,1095.2,0.318,0.281,11,656.3,12,208.81,11
"PT Vale Indonesia Tbk ","IDX","INCO","Materials",1968,"APAC",2961,"BB","BB","Public Company",9936.3,0.418,3564.6,953.2,357.8,494.7,337.3,257.5,508.3,1519,2472.8,4.75,2154.5,0.026,0.027,10,490.8,10,350.18,7
"Aerojet Rocketdyne Holdings, Inc. ","NYSE","AJRD","Industrials",1915,"US/CA",5000,"BB-","BB-","Public Company",80.3,45.35,3562.8,2188,343.6,284.9,226.2,124.8,700.4,473.7,2433.6,516,533.5,1.55,1.81,3,283.6,3,250.1,2
"Paramount Resources Ltd. ","TSX","POU","Energy",1976,"US/CA",475,"B+","B+","Public Company",142,23.82,3560.3,992.5,845.2,657,591.8,460.1,1.34,2220.2,3070,322.8,2059.6,3.35,4.3,2,996.8,2,695.66,1
"Hayward Holdings, Inc. ","NYSE","HAYW","Industrials",1925,"US/CA",2408,"BB","BB","Public Company",215.9,11.34,3546.9,1401.8,707.6,451.2,395.4,254.3,265.8,210.4,2978.5,1054.4,1369.5,1.02,0.933,10,362.5,10,293.3,8
"GMS Inc. ","NYSE","GMS","Industrials",1971,"US/CA",5475,"BB-","BB-","Public Company",42.6,54.01,3537.3,4634.9,1492.1,542,422.7,273.4,101.9,504,3104.4,1335.9,1064.5,6.35,7.53,8,542.6,3,424.4,4
"Griffon Corporation ","NYSE","GFF","Industrials",1959,"US/CA",6700,"B+","B+","Public Company",55.2,34,3519.4,2270.6,851.5,359.7,299.5,241.2,248.7,437.2,2604.7,1194.9,807.2,4.69,3.69,5,436.8,6,356.42,5
"LGI Homes, Inc. ","NasdaqGS","LGIH","Consumer Discretionary",2003,"US/CA",952,"BB-","BB-","Public Company",23.3,101.56,3482.3,3050.1,810.8,542.3,541,413.9,50.5,22,2351.9,810.6,1395.8,17.2,14.5,5,507.9,2,441.82,4
"Brandywine Realty Trust ","NYSE","BDN","Real Estate",1994,"US/CA",326,"BBB-","BBB-","Public Investment Firm",171.6,8.31,3470.5,457.8,282.2,213.7,69.6,16.3,27.5,2812.7,3846.2,1879,1701.2,0.093,0.068,4,284.3,4,105.08,7
"Central Garden & Pet Company ","NasdaqGS","CENT","Consumer Staples",1955,"US/CA",6500,"BB","BB","Public Company",54.4,43.51,3456.2,3303.7,1005.4,342.3,262,151.1,426.4,494.2,3116.7,1356.6,1223.5,2.82,2.97,6,364.8,4,260.95,4
"Superior Plus Corp. ","TSX","SPB","Utilities",1996,"US/CA",4261,"BB-","BB-","Public Company",201.7,8.79,3429.3,1890.7,771.6,247.2,95.6,18.9,22.4,851.9,2813.5,1288.7,1036.9,0.19,0.414,8,372.1,12,179.81,2
"Edgewell Personal Care Company ","NYSE","EPC","Consumer Staples",1772,"US/CA",6900,"BB","BB","Public Company",51.8,42.13,3428.9,2087.3,906.5,308.4,224.6,109,479.2,420.3,3674.6,1318.6,1584.3,2.03,2.55,9,344.5,7,240.67,7
"Metsä Board Oyj ","HLSE","METSB","Materials",1986,"EU",2476,"BBB-","BBB-","Public Company",355.5,8.71,3396.3,2375.3,715.9,356.5,278.5,381.8,596.2,1063.3,3322.5,508.4,2098.9,1.07,1.05,5,580.2,4,487.78,5
"Storskogen Group AB (publ) ","OM","STOR B","Industrials",2012,"EU",12225,"BB+","BB+","Public Company",1663.8,1.21,3368.1,1934.9,532.4,289.2,201.5,110.5,682,368.5,3563.7,835.4,1834.5,0.069,0.084,5,409.6,6,252.41,7
"The GEO Group, Inc. ","NYSE","GEO","Industrials",1984,"US/CA",15800,"B","B","Public Company",120.5,8.07,3366.9,2256.6,661.3,463.9,328.2,76.9,506.5,2150,4537.4,3065.8,975,0.513,1.23,3,500.2,2,365.19,3
"CAP S.A. ","SNSE","CAP","Materials",1946,"LATAM",5454,"BB+","BB+","Public Company",149.4,8.57,3359.7,3676.9,992,1066.5,826.5,425.6,867.6,3901.4,6612.3,821.7,3667.3,2.85,4.25,3,1224.2,4,991.6,2
"Dometic Group AB (publ) ","OM","DOM","Consumer Discretionary",1922,"EU",8890,"BB-","BB-","Public Company",319.5,5.86,3358.9,2379.5,727.3,418,327.1,194.9,487.5,362.7,5754.2,1903.6,2482.5,0.61,0.579,7,404.6,6,291.25,6
"Hankook Tire & Technology Co., Ltd. ","KOSE","A161390","Consumer Discretionary",1941,"APAC",6588,"BBB","BBB","Public Company",122,27.79,3346.6,5995.1,1437.3,883.4,439.9,526.7,891.6,3218.8,9825.6,1528.2,6888.4,4.33,3.72,15,948,16,534,12
"Sally Beauty Holdings, Inc. ","NYSE","SBH","Consumer Discretionary",1964,"US/CA",29000,"BB-","BB-","Public Company",106.4,15.06,3333.4,3875,1958,512.9,415.4,230.4,401,845.1,2847.1,1943.1,280.7,2.09,2.2,6,522.8,4,403.82,6
"Vanguard International Semiconductor Corporation ","TPEX","5347","Information Technology",1994,"APAC",2385,"BBB-","BBB-","Public Company",1639,2.48,3314.7,1585.9,862.8,801.9,657.4,537.1,487.8,938.7,2365.2,253.9,1268.9,0.328,0.238,14,707.2,15,498.63,16
